landslides_polygons$id,mean.tch,sd.tch,mean.slope,mean.tri,tri.10m,elev,elev.km,ls.northing,ls.easting,insol.dsm,insol.kw,insol,agb,year,age,surface.area,perimeter,elev.mean.tch,max.tch.buf,rem
33,8.388380304,5.003492148,49.6022604,1.91578666,9.130411177,3210.122538,3.210122538,0.690589424,0.60296033,1259631.706,1259.631706,3.451045771,56.93255628,1999,14,10839.06494,489.1843545,9.372365765,23.61962891,1
34,3.648388473,3.260764771,51.60300871,2.103175924,9.541812672,2996.915305,2.996915305,-0.244869579,0.913667924,918136.3667,918.1363667,2.515442101,19.92995058,2001,12,2960.843518,240.960838,11.65804051,11.79296875,1
35,2.023134357,3.994330414,38.91944715,1.390909218,7.012401581,2800.009502,2.800009502,0.179491506,0.645694954,1012747.538,1012.747538,2.774650788,15.21008153,2010,3,4068.905065,657.443638,11.89066134,16.4152832,1
36,1.490110334,2.011942608,46.80426888,1.799724574,8.578255119,2738.643582,2.738643582,0.231172135,0.830080299,1068011.363,1068.011363,2.926058529,7.798678009,2003,10,14441.22739,605.0688153,11.96315789,13.41699219,1
37,1.40041663,1.364394687,48.30551212,1.780100841,8.132416554,2706.039138,2.706039138,0.58720718,-0.621517603,936588.484,936.588484,2.565995847,6.772650734,2012,1,6037.077277,369.2482047,12.00167617,6.160644531,0
38,5.532901865,5.605806928,41.62494614,1.430655619,6.743058523,2872.660542,2.872660542,-0.277722368,0.829485293,1064913.094,1064.913094,2.917570119,39.0412035,2007,6,10342.71435,1308.869974,11.80483276,25.98535156,1
40,3.716833622,2.46132544,49.03734513,1.902775284,8.882488251,3296.060547,3.296060547,0.946980201,0.057298425,1317565.567,1317.565567,3.609768678,17.01605135,2001,12,1556.961847,256.399317,7.79102103,7.606445313,0
41,1.51348109,2.746795117,39.7770799,1.341002944,6.594317059,3279.927236,3.279927236,0.532350093,0.556282967,1342703.332,1342.703332,3.678639264,8.339890619,2011,2,5894.62292,799.1260147,8.087889967,8.650390625,1
45,0.49738237,1.300988366,44.14618695,1.539101535,7.290706787,3086.114347,3.086114347,0.776310728,0.480135083,1396824.483,1396.824483,3.826916393,1.865734282,2011,2,14260.69927,527.9641664,11.55266243,7.221923828,0
46,1.104041587,2.002425542,41.00385787,1.356107269,6.663485014,3037.578742,3.037578742,0.12257343,-0.973763178,1241641.548,1241.641548,3.401757666,4.900628066,2012,1,5207.33509,383.2955311,11.61000148,13.87304688,1
48,2.87499343,3.167800659,46.54861567,1.713304396,7.679458618,3293.239548,3.293239548,-0.409022633,0.589184893,1097895.969,1097.895969,3.007934162,17.98907372,2011,2,3532.429349,323.1443917,7.842930213,16.56713867,1
49,2.629222165,3.163483144,42.97757382,1.506283427,7.427075838,3269.088256,3.269088256,0.257011364,0.869666636,1358109.126,1358.109126,3.72084692,15.30116956,1999,14,2574.432489,391.4624814,8.287337965,4.401123047,0
